tweet,location
"RT @ParkerMolloy: Trump is now retweeting white supremacist twitter accounts. Okay, then. https://t.co/bLryXSfBcF","Nevada, USA"
RT @HistoricalPics: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/qKO73bP0rI,"Kuala Lumpur, Malaysia."
"RT @AnnCoulter: Republican voters also not that into Republicans.  They wanted a wall, deportation &amp; a break from all immigration. https://…","Ohio, USA"
"RT @EricWolfson: ""I thought Palin's Trump endorsement was brilliant!""
#MakeMeFeelAwkwardIn7Words

#p2 https://t.co/6GRkoO3r9m","Tampa, FL"
"RT @espiekermann: Cannot stand that Trump uses my #FFMeta @FontShop: (only in the background, but still) He only deserves Arial https://t.c…","Amstelveen, the Netherlands"
"RT @RushCity4Bernie: #Hillary angers fans who waited hours for 5 minute speech. One attendee said she didn't say enough to earn her vote
ht…","Milford, MA"
"RT @YRNFSouthern: There is no such thing as the ""Republican Establishment"" https://t.co/i1004osYtK","Ft. Lauderdale, FL USA"
RT @court_gette: Pour ou contre Donald Trump,"Rennes, Bretagne"
How I Became a Donald Trump Fan for Exactly 2 Hours https://t.co/XO7peukI1e via @Esquire,"Doha, Qatar"
How I Became a Donald Trump Fan for Exactly 2 Hours https://t.co/JDG1bwIelR via @Esquire,"Doha, Qatar"
Chingy a coon too. Like all them other niggas.  https://t.co/QfUGm5LDQV,"Muddy Jungle, OH"
@StephenNolan  funny how a brit shoots a Catholic we need an inquiry a Republican shoots a Catholic and some see it as justice. #its2016 ffs,"Belfast, Northern Ireland"
RT @DanScavino: Amazing endorsement for @TedCruz w/ Glenn Beck! A guy who uses photo-shopped materials to attack @realDonaldTrump &amp; gets ca…,"Pennsylvania, USA"
"@ForPatriots @BernieSanders them it's ""their campaign"", and they are gonna continue sending money.  It was the perfect scam","St Louis, MO"
@POTUS AN OPEN CHALLENGE TO THE PRESIDENT OF THE UNITED STATES FROM @NRA ON THE #2A. #MakeAmericaGreatAgain https://t.co/YvJBXTG8tQ …,"Maryland, USA"
RT @VWAudiPorsche: I've already quit listening to @marklevinshow &amp; @RedEyeRadioNet Because they have orders to attackTrump. Trump2016🇺🇸 htt…,"New York, NY"
Omgosh. This is now coming here. Thanks #Obama. #ImpeachObama NOW!!! Before his exec. orders finish us off. #Trump https://t.co/RsbEO2nnvk,"North Carolina, USA"
"RT @tgradous: Can’t Decide Between Trump and Cruz? Read This.
@pjamesjp1 @Doodisgirl @SMolloyDVM @JMontanaPOTL @DrottM @LVNancy  https://t.…","Jacksonville, FL"
Climate-denier @realdonaldtrump is no threat to the billionaires because he is one himself.  https://t.co/P024tlJxOc,"Howard County, Maryland"
@cruzgrassroots @MarkAlmost not Senators Cruz or Rubio I stay home. Got it? Good now get rid of democrat Donnie.,"Mississippi, USA"
"@realDonaldTrump 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
RT @pourmecoffee: President Trump will build a beautiful dome to keep the snow out of DC and make Virginia pay for it.,"sheboygan, wi"
RT @PatriotMash: Former CIA double agent says Hillary Clinton was 'playing Russian roulette' with the lives of American spies (Video) https…,"Jacksonville, Florida"
"“My dream would be if Ted Cruz became president tonight. I really admire Ted Cruz, on many levels."" -Nugent https://t.co/pyQ5XJN02w","Newburyport, MA"
Long-Time Leaders of Conservative Movement Unite in Support of Ted Cruz https://t.co/6U04sFv1Do,"Miami, United States"
RT @NateSilver538: Thoughts on the state of the GOP race -- and why I've become a lot less skeptical of Trump's chances: https://t.co/apm5u…,"Barcelona, Cataluña"
"RT @FT: Trump, America and how to get over the loss of an empire - by @KuperSimon 
https://t.co/cnQacpiNFV https://t.co/a8UFOvSEXI","Abuja, New York, Awka"
RT @bernieforbernie: @NASA @bcfontt That is actually a view of @BernieSanders spreading his message #WeAreBernie #blizzard2016 #SuperBern h…,"El Paso, TX"
"Come on #TRUMPTRAIN #trumpateers #MakeAmericaGreatAgain 
VOTE
We can't let Commie Bernie be in lead...LOL https://t.co/8BdH9fH4Fg","Fort Smith, AR"
RT @crazylary51: #WeAreBernie LOVE WHEN THESE REPUBLICAN FAKE  BERNIE BOTS  COME OUT THEY ARE SO EASY TO BLOCK!! YOU! CAN TELL THE FAKES!!,"Arkansas, USA"
Trump supporters: Exactly what does your candidate truly believe? https://t.co/LWq7ymyt7A,"Frederick, MD"
RT @VICE: Hillary Clinton has a Killer Mike problem https://t.co/tb6Oqs7bYB,"Melbourne, Australia"
"RT @FiveRights: Trump threatened no one, hates no one, chastised by Brits for hate.
Muslims, openly hating, get police protection. https://…","Saint Louis, Missouri"
"RT @NateSilver538: GOP lobbyists want Trump to win nomination because they think he'll lose general election?
https://t.co/gwSbzDF0Me https…","Barcelona, Cataluña"
"RT @AceofSpadesHQ: All I can say, when you tell me that Trump is not conservative and a demagogic liar, is: Oh, so he'll fit right in, huh?","Ithaca, NY"
"RT @BreitbartLondon: Muslim MP Invited Trump To Visit Bradford, Where Muslims Beat Christian Converts https://t.co/5HO6BnHqHX https://t.co/…","UK, Christendom"
"RT @ninamills: Hillary Clinton: Supreme Court rulings threaten our democracy
https://t.co/kEq0klkSna #UniteBlue  #USLatino","Irving, Texas"
"RT @rupert_franklin: ""West, Kanye, Conservative - 1754 votes""
""Mau5, Dead, Labour - 6,257 votes""
""Z, Jay, Liberal Democrat... http://t.co/0…","Putney, London"
Editor of Honolulu newspaper tells Donald Trump to stop using its photos https://t.co/60irF0xfM8,"New York, NY"
Michelle Obama: We Must Teach Young Blacks To Always Vote Democrat ‘No Matter Who’s On The Ballot’ https://t.co/TRleA8XKY3,"Caldwell, Texas USA"
"@tedcruz 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
"Concerned @berniesanders is attracting anti-establishment #BlackLivesMatter @cornelwest, not power brokers that get out #vote. @CharlesMBlow","Brookland, DC"
RT @TracyJeffords: .@JudgeJeanine maybe you should disclose Trump is lining your pockets while you tell us all to get in line #Sellout http…,"Sweet Home, AR"
RT @ninamills: Jane Fonda Organizing 'Dump Trump' Campaign https://t.co/9hk6QCHSHJ #Newsmax via @Newsmax_Media #UniteBlue #USLatino,"Irving, Texas"
@HillaryClinton how did you make a mistake after gathering information through illegal channels for so long? I put it to you you exterminate,"Bolton-le-Sands, England"
"RT @Plantflowes: #WeAreBernie And, now we are going to troll and criticize Elizabeth Warren, Cus that is how Berners roll https://t.co/g4HU…","Arkansas, USA"
"TRUMP SNOW Sat, 23 Jan 2016 06:00:00 CST","Champaign-Urbana, IL"
RT @David360NC: Krauthammer: If Just One More Establishment Figure Endorses Trump It Could Make Him Inevitable Nominee | Video |  https://t…,"Fort Smith, AR"
"#nowplaying on https://t.co/aSZlk0mBNd:
@RaeSremmurd - Up Like Trump
🔥💀🔥","Los Angeles, CA"
"RT @NHPOTFARM: I see #BernieSanders 
Where's #HillaryClinton 
#WeAreBernie https://t.co/fIQG1UepZ2","Nashville, TN"
RT @Maggyw519: @eclecticbrotha @goddamnedfrank Bern has Cornel West the GOP has Allan West ..same purpose,"denver, co"
"RT @ECentauri: REUTERS POLL: #Trump SUPPORT JUMPS TO 40 PERCENT https://t.co/JWJvPOta4p
#Trump2016 #TrumpTrain","Fort Smith, AR"
How hideous that @HillaryClinton has fought for empowering women (!&amp; men!) AND FAMILY in the US and abroad her whole life #WeAreBernie,"Kool-Aid Wino, RB"
"RT @HaloOneForTrump: I predicted this 2 weeks ago, knew when @tedcruz's every other sentence was scripture #Evangelicals R U buying this? h…","New York, NY"
RadioAnswer: I was going to write something on why Trump… https://t.co/B8TjYy5lE0 #Elections #FrontPageStories #t… https://t.co/TkW1GCCmSO,"Atlanta, GA"
"Ted Cruz Slams Bob Dole, Donald Trump As Crony Establishment.. Related Articles: https://t.co/D1IKXsii9A","San Diego, CA"
Rand Paul: I Have Better Hair Than Donald Trump.. Related Articles: https://t.co/jd4k8zKshT,"Dallas, TX"
"RT @tedcruz: ""Ad exposing how Trump has used eminent domain to bulldoze an elderly woman’s home to create a limo parking lot"" https://t.co/…","Ohio, USA"
"RT @ProtestPics: The ""I'm not voting for Donald Trump"" starter pack https://t.co/ybhQR0vUEr","Toulouse, Midi-Pyrénées"
"RT @GarzaVillanueva: #USlatino
10 days until #Iowa! Our latest polls-plus forecast gives Cruz a 52% chance of winning:
#Trump2016
#p2p16 
h…","Irving, Texas"
Apparently this is what #Trump has done to #Cruz as the #IowaCaucus approaches https://t.co/gVB05WoWzS,"Lawton, OK"
RT @LynsieLee: Trump fans are okay with having a president that has declared bankruptcy 4 times run our system? interesting.,"37.328871,-121.891731"
@Hillary2016Pres @WeNeedHillary @HillaryClinton #WeAreBernie nice to see Hill move to the left - She's #FeelinTheBern,"Arizona, USA"
A Trump reality check in New Hampshire https://t.co/AiIZamhBHy,"Washington, Texas"
Much of this is established truth. Some opinion. Her personality is known. Should this harridan be President?  https://t.co/BzO0BHxwNo,"Kennesaw, GA"
New post (BUHARI REPLIES TRUMP – “I WILL REPATRIATE EVERY SINGLE AMERICAN IN NIGERIA) has been published on... https://t.co/CwYgPr9QvN,"Blantyre, Malawi"
"RT @PaulieSilversmi: I am finding that many Ted Cruz supporters are actually nastier on Twitter than Democrats, liberals, leftists and the …","New York, NY"
"@SenatorLeahy @SenateMajLdr @realDonaldTrump @SpeakerRyan @RepGoodlatte McConnell why waste time on ""show"" votes when prison reform waits ?","Palm Beach, FL"
@AnnCoulter @sahilkapur @NRO The self pro claimed leaders of Republican Party are no better than the democrats. People fed up!,"DeRidder, La"
@Shooters_Wife @LeahRBoss  I have been saying this to everyone that I know who has a brain.   I don't care who the GOP has as nominee VOTE R,"Oneonta, NY"
"RT @FiveRights: Trump threatened no one, hates no one, chastised by Brits for hate.
Muslims, openly hating, get police protection. https://…","Jacksonville Beach, Florida"
#Election2016 Get 2 know #Bernie2016 at https://t.co/jrz627JLb7 - #FeelTheBern &amp; show your endorsement #Democrats https://t.co/QBeuFE2ya9,"Burlington, VT"
RT @theblacks4Trump: I just signed my pledge card supporting #Trump2016 Did you sign yours yet? #Trump #MakeAmericaGreatAgain https://t.co/…,"Johnson City, TN"
RT @22Americanfirst: Woo HOO @realDonaldTrump is now our INSURGENT ! https://t.co/g86f2FymFA,"Florida Adentro, Puerto Rico"
RT @KatrinaPierson: The NRO logic to go against @realDonaldTrump &amp;lose general to advance conservative cause is genius 😨#CorporateConservat…,"San Antonio, TX 78229"
#Election2016 Get 2 know #Bernie2016 at https://t.co/jrz627JLb7 - #FeelTheBern &amp; show your endorsement #Democrats https://t.co/AdQ0Rr8GLZ,"Burlington, VT"
RT @DualFed: So the same National Review that is Against Trump endorsed Paul Ryan for Speak. The same speaker that funded everything Obama …,"Watertown, MA"
#Election2016 Get 2 know #Bernie2016 at https://t.co/jrz627JLb7 - #FeelTheBern &amp; show your endorsement #Democrats https://t.co/yrH08ocTsl,"Burlington, VT"
GOP’s deal with the devil: The donor class will forever regret allying with Trump https://t.co/bavckqov8j,"California, USA"
"@donamitch @tedcruz 
https://t.co/ySCpZgpgEt
check this video out","Florida, USA"
RT @TFinn82: Much of what Trump says he'll do is unconstitutional. He's making promises he cannot keep. @SenFrankNiceley,"Bloomington, IN"
"""Is Trump the American Sadr?"" https://t.co/pK9KMwWtAd via @NRO @AEIfdp #Trump @realDonaldTrump #Iraq","Washington, DC"
"Interpreting Rush: America, in its desperation to free itself from liberalism, commits suicide by fleeing to Trump.","Texas, USA"
@jfinney18 @realDonaldTrump @JoeNBC   Thanks Jon. Very powerful. Very LONG!  I hope it is effective. Tells the GOP dirt. I will vote TRUMP!,"New Orleans, LA"
RT @Eating: RT if you think this mozzarella stick would be a better president than Donald Trump. https://t.co/xwXui5MeYr,"Stamford,Lincolnshire"
@veejaybee26 @ZaidJilani @the_intercept Sounds pretty establishment to me. #WeAreBernie #EnoughIsEnough #FeelTheBern,"Lib'rul Superegoton, Urbrainia"
RT @Lee_in_Iowa: #WeAreBernie pretending St. Bernard's blitz of tv ads in Iowa are financed by our measly campaign donations &amp; not from a G…,"Arkansas, USA"
Group Of Coders Create Script Language Based On Donald Trump via @AmeboApp https://t.co/GUPQ9iNSUu,"Ben in-City, Nigeria"
Just a bunch of pathetic grifters https://t.co/kXULe0EfB4,"Dallas, TX"
RT @ddlovato: Love you tons Iowa... Will post pics ASAP!! #ImWithHer ❤️💙🇺🇸 @HillaryClinton @HillaryforIA,"Angeles,Illéa ♊ dl,jb,1D"
RT @Eating: RT if you think this mozzarella stick would be a better president than Donald Trump. https://t.co/xwXui5MeYr,"Vetlanda, Sverige"
Murkowski: GOP working on America’s energy needs while Obama politicizes https://t.co/bXOYVxzhpl https://t.co/MsapHb5VBg,"Washington, DC"
RT @Eating: RT if you think this mozzarella stick would be a better president than Donald Trump. https://t.co/xwXui5MeYr,"Amman, Hashemite Kingdom of Jordan"
RT @systemaintfree: There is a programming language called TrumpScript which is made to think like Donald Trump. https://t.co/E4o46UR0Jn,"Nuremberg, Bavaria"
The @NRO National Review is a failure &amp; their attack on @realDonaldTrump is backfiring!!! Go Donald Trump!,"ÜT: 41.853508,-71.481087"
"With Trump and Palin, Republicans get what they deserve https://t.co/0sD4ODnR1P","Washington, D.C., area"
"Cause flood racial mixing saith the Lord @FoxNews #lds #mormon @CNN @MSNBC @realDonaldTrump
https://t.co/LK7uLedNoi https://t.co/9Uyj98Mxgl","San Felipe, Baja, Mexico"
The Battle for the Soul of the Right https://t.co/L802xTRzKN https://t.co/S2qMphgRic,"Los Angeles, CA"
"RT @tedcruz: To the men and women of our military, as Commander in Chief, I'll have your back https://t.co/S37Z5ULjGt https://t.co/XKeU2HCL…","Ohio, USA"
"Palin eendorsed @RandPaul &amp; his foreign policy. Help Paul in #IA?
https://t.co/QYwfpwKbl8
#StandWithRand #RandRally https://t.co/2xckrVG15Q","New Hampshire, USA"
"PUHLEASE, depart already...improve our air-quality, take Comrade Behar with you. https://t.co/YBK377asTv","Wyoming, USA"
RT @ShaaaaaNaNa: #BREAKING - I think @Chairmnoomowmow may have endorsed @realDonaldTrump - primaries over. https://t.co/paJLsjg19X,"Tacoma, WA"
RT @nytpolitics: Some voters in New Hampshire said they change the channel whenever they see Donald Trump's face https://t.co/BxNdCXgd8e,"São Paulo, Brasil"
"Party in panic mode? Top Dems, and a bit of Hollywood, rush to Iowa to boost @HillaryClinton https://t.co/0RvK6ezGGb @BernieSanders #vtpoli","Burlington, Vermont"
"Hmm, sounds like its getting bad #shan1ey https://t.co/JN1buyAyP7","San Jose, California"
RT @paulvallely: This Powerful Video Just Released About Donald Trump is Sending Chills Up and Down People's Spines https://t.co/NDFNXqc2gS…,"Detroit, MI"
It was a great rally... to poop on!  https://t.co/Ktb6nHk5Vn,"Brooklyn, NY"
RT @LandmanMarius: I like this bloke. Happy to know he endorses Trump. Good man. https://t.co/Mwl5ubaEzh,"Florida, USA"
"@amrightnow
#MakeAmericaGreatAgain

#1 Reason Romney &amp;USA Lost 2012
#1 Reason TRUMP &amp;USA Could Lose 2016

MSM LYING! https://t.co/7RcMnCKSTw","Freedom, USA"
"https://t.co/0qcXougLbh The Republican Experiment has failed, and the Party that proposed it has become a zombie.  It's time to let it die.","North Tonawanda, NY"
Hillary Clinton angers Iowa fans who waited hours for five-minute speech https://t.co/hqi4vF1ugR,"Fruit Cove, Florida"
RT @wiskey1249: Video Game Lets You Murder Donald Trump – Where’s The Leftist Outrage?: Imagine a video game where you can kil... https://t…,"Texas, USA"
Best way for the @GOP to survive 2016 is to rally behind their frontrunner and support who VOTERS want! It's abt unity. @RNC_PoliceNL #Trump,"Florida, USA"
@Ward4Anderson @HillaryClinton 150 FBI agents investigating PUBLIC CORRUPTION of Clinton Foundation #ImNotWithHer https://t.co/hBFf42D7Ta,"#StopTPP !!! Ohio, USA"
RT @MichelleWKwan: The beautiful and talented @ddlovato campaigning for hillaryclinton #HillSquad #ImWithHer https://t.co/tg9GWGTNNp,"Angeles,Illéa ♊ dl,jb,1D"
"RT @IWeepForTrees: #WeAreBernie

Clowns to the left of me!
Jokers to the right!
Here I am stuck in the middle Bernie
#FeelTheBern https://t…","Atlanta,GA"
Trump and Palin may be funny. But they are no joke | Jonathan Freedland https://t.co/lsKo0IeEDW,"santiago, chile"
"RT @whoisyoungchose: When Donald Trump becomes president, nobody betta say shit to me the whole boat ride back to Africa or we fighting😒","Paris, Ile-de-France"
RT @Saint_Obama: @stephenfhayes Obama supporters willingly overlooked giant red flags. Trump supporters are doing the same. They don't care…,"Catalina, AZ"
"Time for a change...
#FeelTheBern... https://t.co/UhOH1YrTnn","Tacoma, WA"
@georgecarl1955 @amandacarpenter @DrMartyFox @marklevinshow THEN YOU ARE BLIND! TRUMP JUST RAPPED UP IOWA AND MAYBE THE NOMINATION!  JEB,"Dallas, Texas"
RT @Forbes: Donald Trump is right about this: Bring back more device manufacturing to the U.S. https://t.co/irtoMdVFik,"NCSU+IBM, RTP, NC"
@SteveKingIA Nice try. @realDonaldTrump borrowed $$ for BUSINESS not politics. Now pls go away nobody likes you.  https://t.co/wfG5ZH8O3O,"Manning, Iowa"
@SenatorLeahy @SenateMajLdr @realDonaldTrump @SpeakerRyan @RepGoodlatte Senate's agenda time wasted as bipartisan prison reform need attenti,"Palm Beach, FL"
"RT @Art05hr3d: https://t.co/tMk71feSVf
@realDonaldTrump: America's chance for a President with Competence and Accomplishment. https://t.co/…","Florida, USA"
Even if technology works &amp; has huge social benefits it still has to weave it's way through a maze of nonsense. #trump bring a big threat.,"London, "
@ShaaaaaNaNa @Chairmnoomowmow @realDonaldTrump ..LOVE IT!!,"Tacoma, WA"
"RT @IWeepForTrees: #WeAreBernie
We're for a man who represents the common American, not wealthy Saudis
#FeelTheBern https://t.co/5DURxxoe1V","Atlanta,GA"
"Paid family leave laws aren't crushing business, despite what Ted Cruz says https://t.co/VNUksfvYCq via @HuffPostPol","Harrisburg, Pa"
"RT @Independent: Donald Trump is making it harder to fight Islamist extremism, says David Cameron https://t.co/RV9jRMqIIU https://t.co/vbJy…","Roma, Italy - Taranto, Italy"
@PoliticalLaughs  No...if you want Rubio to win...I can see why you would want that. But RNC is wrapping head around Trump win. #inevitable,"Palm Coast, Florida"
so Sick of Seeing this Deceiver's Face. DOJ needs to do their Job &amp; INDICT her https://t.co/2Y2v0298ab,"Wisconsin, USA"
"RT @TUSK81: Fact check: As a Trumpified GOP pushes ""out of control border"" falsehoods, undoc immigrant population hits 13yr low. https://t.…","Irving, Texas"
"Paid Family Leave Laws Aren't Crushing Business, Despite What Ted Cruz Says https://t.co/YQ5hnYh90K","Harrisburg, Pa"
RT @DanScavino: The National Review-attempting to destroy @realDonaldTrump- has a poll😂which is back firing. https://t.co/HUTMr1zPz8 https:…,"South Carolina, USA"
"RT @ParkerMolloy: Trump is now retweeting white supremacist twitter accounts. Okay, then. https://t.co/bLryXSfBcF","Bellefontaine, Ohio"
@realDonaldTrump Please Remove Megyn Kelly as Debate Moderator https://t.co/cehW0bCbDv,"harvest, alabama"
RT @Momfullofhope: Don't miss @realDonaldTrump Rally today from Muscatine Iowa at 1 EST Live Stream Link  https://t.co/EQujptEKu2,"Texas, USA"
RT @HistoricalPics: Bernie Sanders explaining what's so dangerous about Donald Trump running for president. https://t.co/qKO73bP0rI,"Bastia, Corsica"
"https://t.co/29ojoHGMW4 ""You call it corn. We call it maize."" #Corn #Maize @TedCruz @realDonaldTrump #Ethanol #IowaCaucus @Kokomoschmoe","Houston, TX"
@SenatorLeahy @SenateMajLdr @realDonaldTrump @SpeakerRyan @RepGoodlatte Families of Fed inmates suffer as McConnell plays political footsie,"Palm Beach, FL"
@nytpolitics @nytimes DAMAGED BRAIN= DONALD TRUMP.,"São Paulo, Brasil"
"RT @tgradous: Predictable Donald Trump
@pjamesjp1 @GenGSPatton @FreeLion7 @SMolloyDVM @JMontanaPOTL @LVNancy @qnoftherealm @JVER1  https://…","Jacksonville, FL"
"RT @JAndretta: Trump can handle them all, because he has handled them as a businessman. https://t.co/QosXi6weNB","New York, NY"
"Hillary Emails: 7 Smoking Guns Found ... So Far https://t.co/cO35muQcuW via @IBDeditorials HURRICANE HILLARY TRYING TO TWIST ""CLASSIFIED"".","New Jersey, USA"
RT @CharlesMunn1: Sign Robert Reich's petition: Support @BernieSanders's plan to break up the big banks. #BreakEmUp https://t.co/zacWUXMr17,"Atlanta,GA"
A brokered convention is what we are going to see. A real convention! https://t.co/0DClhBk43D,"Marietta, Georgia"
https://t.co/ErEmdsR3Hn Retweeted RT HillaryClinton: Just 10 days to the Iowa caucus! Hillary can't do it without… https://t.co/5SGwGC6XC6,"Miami, FL"
RT @DebndanfarrDeb: TED CRUZ WINS AWARD FOR THE MOST ELITE SUPER PAC MONEY ! https://t.co/A4yJZLrXCt,"Palm Coast, Florida"
"https://t.co/ErEmdsR3Hn Retweeted RT amberversola: A KS woman, born 2 yrs before women cld legally vote, promised… https://t.co/bnT0BwRRlE","Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted GeraldoRivera HillaryClinton No Intent? she had a private server and deleted ev… https://t.co/ht8NhZSYCM,"Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted RT DarkArchery: #PJNET GOP Arrest potUS #islamSUCKS HillaryClinton for PRISON T… https://t.co/OgPPsqYwTb,"Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted RT jamescoleman07: What President Obama’s legacy means to me … https://t.co/pTZcHr1rUi,"Miami, FL"
"https://t.co/ErEmdsR3Hn Retweeted FoxNews krauthammer HillaryClinton 
Lame excuse as always from krauthammer https://t.co/p8JJZf8hv6","Miami, FL"
RT @stephenfhayes: If every GOP primary voter saw this before caucusing or voting how many would support @realdonaldtrump? https://t.co/GB5…,"Catalina, AZ"
"How would @GeoGroup and @CorrectionsCorp afford 2 dump all that cash to @HillaryClinton ?
#WeAreBernie #FeelTheBern  https://t.co/Mjo2daWrFn","Florida, USA"
https://t.co/ErEmdsR3Hn Retweeted #WeAreBernie please nominate BernieSanders because he is an honest communist un… https://t.co/97DXCxCJTr,"Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted RealJamesWoods it looks like HillaryClinton (Hil-LIAR-y) didn't buy into the Mi… https://t.co/jeJUxFC7yp,"Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted HillaryClinton  https://t.co/vvQVbHBZJk https://t.co/1JWbsPO01Y,"Miami, FL"
"https://t.co/ErEmdsR3Hn Retweeted GeraldoRivera HillaryClinton Geraldo, you should stick to daytime trash shows l… https://t.co/HSQFVlnvKn","Miami, FL"
"Cruz offers his vision for election face-off with Clinton: Even before the first primary votes are cast, Republican… https://t.co/TuwjeyIEFa","Honolulu, Hawaii"
https://t.co/ErEmdsR3Hn Retweeted RT grist: The real heroes of the Flint water crisis (i.e. not HillaryClinton) … https://t.co/usTGLrPUwD,"Miami, FL"
https://t.co/ErEmdsR3Hn Retweeted HillaryClinton #HouseBenghazi #BillClinton Please find time to watch megynkelly… https://t.co/zqjySAHIGf,"Miami, FL"
"MAKE NO MISTAKE, ONCE YOUR EXCEPT SOCIALISM THE COMMUNISM WILL BE WHERE THEY PUSH US NEXT. #MakeAmericaGreatAgain #VoteTrump2016","Maryland, USA"
https://t.co/ErEmdsR3Hn Retweeted WouterZwart HillaryClinton politico Sanders/Warren een betere combi https://t.co/Nt6PMaFAFw,"Miami, FL"
